insertId,labels.execution_id,logName,receiveTimestamp,resource.labels.function_name,resource.labels.project_id,resource.labels.region,resource.type,severity,textPayload,timestamp,trace
000000-e6576da4-9345-4e9f-b539-1dee97f6261b,hgnr7nrqitfr,projects/cloud-map-reduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-11-25T00:51:02.199851358Z,fetch-data,cloud-map-reduce,us-central1,cloud_function,DEBUG,"Function execution took 15 ms, finished with status code: 200",2020-11-25T00:50:54.892426609Z,projects/cloud-map-reduce/traces/675474b16b0f2195dd097cd108d856e3
000000-906e7ef9-a2cc-4026-acdf-c92d5c31b9df,hgnr7nrqitfr,projects/cloud-map-reduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-11-25T00:51:02.199851358Z,fetch-data,cloud-map-reduce,us-central1,cloud_function,DEBUG,Function execution started,2020-11-25T00:50:54.877922791Z,projects/cloud-map-reduce/traces/675474b16b0f2195dd097cd108d856e3
000000-91eefc8c-5a5f-4d17-8719-780f65cbe65c,hgnry16ezf10,projects/cloud-map-reduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-11-25T00:51:02.199851358Z,fetch-data,cloud-map-reduce,us-central1,cloud_function,DEBUG,"Function execution took 19 ms, finished with status code: 200",2020-11-25T00:50:51.110973502Z,projects/cloud-map-reduce/traces/fc295da79d4a4736a8fe054d82f24528
000000-e0707f00-a1d7-4fbc-b41b-0bb2e4e0dd7e,hgnry16ezf10,projects/cloud-map-reduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-11-25T00:51:02.199851358Z,fetch-data,cloud-map-reduce,us-central1,cloud_function,DEBUG,Function execution started,2020-11-25T00:50:51.092529417Z,projects/cloud-map-reduce/traces/fc295da79d4a4736a8fe054d82f24528
000000-d7d4f1d5-224f-42f4-bc7a-53fb647938cd,hgnrd3dqrta9,projects/cloud-map-reduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-11-25T00:50:50.071916260Z,fetch-data,cloud-map-reduce,us-central1,cloud_function,DEBUG,"Function execution took 14 ms, finished with status code: 200",2020-11-25T00:50:47.416722704Z,projects/cloud-map-reduce/traces/5e14dcaac21a7f56c5ece30dd25dc354
000000-4ac8b671-9116-46bf-b465-e3170ce3683c,hgnrd3dqrta9,projects/cloud-map-reduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-11-25T00:50:50.071916260Z,fetch-data,cloud-map-reduce,us-central1,cloud_function,DEBUG,Function execution started,2020-11-25T00:50:47.402867796Z,projects/cloud-map-reduce/traces/5e14dcaac21a7f56c5ece30dd25dc354
000000-09e7fef1-ad8d-41d3-b85a-f6c8f2be07f0,hgnrorzncpsx,projects/cloud-map-reduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-11-25T00:50:50.071916260Z,fetch-data,cloud-map-reduce,us-central1,cloud_function,DEBUG,"Function execution took 16 ms, finished with status code: 200",2020-11-25T00:50:43.428048917Z,projects/cloud-map-reduce/traces/5a5dee3cfc158092d345f39ceb8ff94c
000000-77b17cc9-1618-43f3-a53c-044c0cf5675c,hgnrorzncpsx,projects/cloud-map-reduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-11-25T00:50:50.071916260Z,fetch-data,cloud-map-reduce,us-central1,cloud_function,DEBUG,Function execution started,2020-11-25T00:50:43.412500079Z,projects/cloud-map-reduce/traces/5a5dee3cfc158092d345f39ceb8ff94c
000000-c34a1307-821d-40b6-b414-3308e4aa3a23,hgnr7jzto4gm,projects/cloud-map-reduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-11-25T00:50:50.071916260Z,fetch-data,cloud-map-reduce,us-central1,cloud_function,DEBUG,"Function execution took 3261 ms, finished with status code: 200",2020-11-25T00:50:42.351326428Z,projects/cloud-map-reduce/traces/2dc798023c9f3152d046d8c5ac0a7223
000000-f00cadde-8e54-40f3-9b1f-54b8fcac04f1,hgnr7jzto4gm,projects/cloud-map-reduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-11-25T00:50:50.071916260Z,fetch-data,cloud-map-reduce,us-central1,cloud_function,DEBUG,Function execution started,2020-11-25T00:50:39.091134596Z,projects/cloud-map-reduce/traces/2dc798023c9f3152d046d8c5ac0a7223
000000-1a06dcdb-2870-4071-a8c2-0770b5f510ff,hgnr918n678o,projects/cloud-map-reduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-11-25T00:49:19.231195327Z,fetch-data,cloud-map-reduce,us-central1,cloud_function,DEBUG,"Function execution took 26 ms, finished with status code: 200",2020-11-25T00:49:15.087383390Z,projects/cloud-map-reduce/traces/245bacb78cde138ab6629879a0594ede
000000-51d87410-9e54-4dcf-b6d4-48ea7ca718ef,hgnr918n678o,projects/cloud-map-reduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-11-25T00:49:19.231195327Z,fetch-data,cloud-map-reduce,us-central1,cloud_function,DEBUG,Function execution started,2020-11-25T00:49:15.061925335Z,projects/cloud-map-reduce/traces/245bacb78cde138ab6629879a0594ede
000000-a756dbdd-4b31-46dd-a224-a9905334bcd2,hgnr7cppwmwo,projects/cloud-map-reduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-11-25T00:49:19.231195327Z,fetch-data,cloud-map-reduce,us-central1,cloud_function,DEBUG,"Function execution took 19 ms, finished with status code: 200",2020-11-25T00:49:08.508743179Z,projects/cloud-map-reduce/traces/4b644ac365969554cec8a435cc17bcb9
000000-42ef4b0f-d9fe-4681-9cb3-7bb921c051c6,hgnr7cppwmwo,projects/cloud-map-reduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-11-25T00:49:19.231195327Z,fetch-data,cloud-map-reduce,us-central1,cloud_function,DEBUG,Function execution started,2020-11-25T00:49:08.490550211Z,projects/cloud-map-reduce/traces/4b644ac365969554cec8a435cc17bcb9
000000-21458dea-40b2-4eb3-b48f-3c18aafc11e5,hgnruk9p6jth,projects/cloud-map-reduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-11-25T00:49:05.087396209Z,fetch-data,cloud-map-reduce,us-central1,cloud_function,DEBUG,"Function execution took 116 ms, finished with status code: 200",2020-11-25T00:49:02.311212278Z,projects/cloud-map-reduce/traces/d425d3cfc2603ac05fdc2a79d289bc68
000000-8ba1dcd7-7742-40cc-a94f-75a982f698ec,hgnruk9p6jth,projects/cloud-map-reduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-11-25T00:49:05.087396209Z,fetch-data,cloud-map-reduce,us-central1,cloud_function,DEBUG,Function execution started,2020-11-25T00:49:02.195707105Z,projects/cloud-map-reduce/traces/d425d3cfc2603ac05fdc2a79d289bc68
000000-56c7f8cd-7ed8-4f47-955c-7fcea3b64242,hgnr6tkcqlbs,projects/cloud-map-reduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-11-25T00:49:05.087396209Z,fetch-data,cloud-map-reduce,us-central1,cloud_function,DEBUG,"Function execution took 92 ms, finished with status code: 200",2020-11-25T00:48:57.614067198Z,projects/cloud-map-reduce/traces/19af34c7241cb50b7cacf3bcaa3cebcd
000000-09d942f4-301f-4a9c-b50e-9cbd39f2d008,hgnr6tkcqlbs,projects/cloud-map-reduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-11-25T00:49:05.087396209Z,fetch-data,cloud-map-reduce,us-central1,cloud_function,DEBUG,Function execution started,2020-11-25T00:48:57.522325935Z,projects/cloud-map-reduce/traces/19af34c7241cb50b7cacf3bcaa3cebcd
000000-244fe2c4-fcfd-4e67-afcc-4c4e6404cdef,hgnroezwszfl,projects/cloud-map-reduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-11-25T00:49:05.087396209Z,fetch-data,cloud-map-reduce,us-central1,cloud_function,DEBUG,"Function execution took 2178 ms, finished with status code: 200",2020-11-25T00:48:54.697469146Z,projects/cloud-map-reduce/traces/38989601c8fad7e0b68c818c34ef5e80
000000-5d117c8f-563c-4c52-a0b5-6a6828d4506f,hgnroezwszfl,projects/cloud-map-reduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-11-25T00:48:54.796312694Z,fetch-data,cloud-map-reduce,us-central1,cloud_function,DEBUG,Function execution started,2020-11-25T00:48:52.519951452Z,projects/cloud-map-reduce/traces/38989601c8fad7e0b68c818c34ef5e80
000000-a9cd54f5-d4e3-41cd-a95c-a1b3c7bea675,hgnrousfhjql,projects/cloud-map-reduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-11-25T00:48:54.796312694Z,fetch-data,cloud-map-reduce,us-central1,cloud_function,DEBUG,"Function execution took 2394 ms, finished with status code: 200",2020-11-25T00:48:48.991733081Z,projects/cloud-map-reduce/traces/d2406afd3020ab63ce978fb6097692c3
000000-7be087ee-c00b-4941-aa96-4266bb981274,hgnrousfhjql,projects/cloud-map-reduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-11-25T00:48:54.796312694Z,fetch-data,cloud-map-reduce,us-central1,cloud_function,DEBUG,Function execution started,2020-11-25T00:48:46.598811032Z,projects/cloud-map-reduce/traces/d2406afd3020ab63ce978fb6097692c3
000000-37a1194a-c302-462a-ac16-ca842cc4b62e,hgnrouk3h789,projects/cloud-map-reduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-11-25T00:48:54.796312694Z,fetch-data,cloud-map-reduce,us-central1,cloud_function,DEBUG,"Function execution took 15 ms, finished with status code: 200",2020-11-25T00:48:43.906892816Z,projects/cloud-map-reduce/traces/e3715787a3cf19c5fc3672ce69a3d439
000000-ae7855f3-b93b-4e43-8315-91dfd38a65d5,hgnrouk3h789,projects/cloud-map-reduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-11-25T00:48:54.796312694Z,fetch-data,cloud-map-reduce,us-central1,cloud_function,DEBUG,Function execution started,2020-11-25T00:48:43.892298014Z,projects/cloud-map-reduce/traces/e3715787a3cf19c5fc3672ce69a3d439
000000-7a95ac1a-a296-450e-9120-bddfd758a42c,hgnr4pwoxx7f,projects/cloud-map-reduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-11-25T00:47:41.386857167Z,fetch-data,cloud-map-reduce,us-central1,cloud_function,DEBUG,"Function execution took 2413 ms, finished with status code: 200",2020-11-25T00:47:33.498556217Z,projects/cloud-map-reduce/traces/3ab723231a30e6a130c7189e1056af1e
000000-5680ec3d-31fa-4768-9692-d095d7eb2a54,hgnr4pwoxx7f,projects/cloud-map-reduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-11-25T00:47:41.386857167Z,fetch-data,cloud-map-reduce,us-central1,cloud_function,DEBUG,Function execution started,2020-11-25T00:47:31.086506523Z,projects/cloud-map-reduce/traces/3ab723231a30e6a130c7189e1056af1e
000000-8d7ff803-7ca6-43e8-9871-c7f6602e28f1,hgnr7xvuw4is,projects/cloud-map-reduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-11-25T00:38:34.579050274Z,fetch-data,cloud-map-reduce,us-central1,cloud_function,DEBUG,"Function execution took 2713 ms, finished with status code: 200",2020-11-25T00:38:26.494414045Z,projects/cloud-map-reduce/traces/f06e30eea33e364089bbd1361fd0cd7b
000000-f8e2d957-748a-4037-b96a-ef2fd05bd5d1,hgnr7xvuw4is,projects/cloud-map-reduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-11-25T00:38:34.579050274Z,fetch-data,cloud-map-reduce,us-central1,cloud_function,DEBUG,Function execution started,2020-11-25T00:38:23.789867512Z,projects/cloud-map-reduce/traces/f06e30eea33e364089bbd1361fd0cd7b
000000-f4ff696c-8c62-4351-99e1-7aa2d33011e5,hgnrptfeoz49,projects/cloud-map-reduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-11-25T00:38:21.546530055Z,fetch-data,cloud-map-reduce,us-central1,cloud_function,DEBUG,"Function execution took 2695 ms, finished with status code: 200",2020-11-25T00:38:10.798364724Z,projects/cloud-map-reduce/traces/01c3996a1a8981d767a6d24be836468f
000000-8c1388dc-3cc2-4740-920e-96848a040e01,hgnrptfeoz49,projects/cloud-map-reduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-11-25T00:38:09.772526035Z,fetch-data,cloud-map-reduce,us-central1,cloud_function,DEBUG,Function execution started,2020-11-25T00:38:08.104038080Z,projects/cloud-map-reduce/traces/01c3996a1a8981d767a6d24be836468f
000000-48102c2f-fe46-4fd8-b240-e7a9326ac0b0,hgnrmznaaa1n,projects/cloud-map-reduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-11-25T00:38:09.772526035Z,fetch-data,cloud-map-reduce,us-central1,cloud_function,DEBUG,"Function execution took 3212 ms, finished with status code: 200",2020-11-25T00:38:02.501365389Z,projects/cloud-map-reduce/traces/19222d2047f48c180794cc4ac63440fe
