insertId,labels.execution_id,logName,receiveTimestamp,resource.labels.function_name,resource.labels.project_id,resource.labels.region,resource.type,severity,textPayload,timestamp,trace
000000-e1e6f4db-9d8c-42f8-9636-8b8e6f1f3c60,ptin1eslwbk8,projects/cloud-map-reduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-11-25T00:50:50.454992976Z,plot-data,cloud-map-reduce,us-central1,cloud_function,DEBUG,"Function execution took 2625 ms, finished with status code: 200",2020-11-25T00:50:42.341580389Z,projects/cloud-map-reduce/traces/f88590c95b6c733d22c4529da397053f
000000-cc0357ee-ec49-4a2d-9c43-9e7421617cea,ptin1eslwbk8,projects/cloud-map-reduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-11-25T00:50:50.454992976Z,plot-data,cloud-map-reduce,us-central1,cloud_function,,n 82,2020-11-25T00:50:39.887Z,projects/cloud-map-reduce/traces/f88590c95b6c733d22c4529da397053f
000000-3d4c5aff-ec02-482b-8d97-57d3f17a7725,ptin1eslwbk8,projects/cloud-map-reduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-11-25T00:50:50.454992976Z,plot-data,cloud-map-reduce,us-central1,cloud_function,DEBUG,Function execution started,2020-11-25T00:50:39.716697173Z,projects/cloud-map-reduce/traces/f88590c95b6c733d22c4529da397053f
000000-e60edace-9fbd-4ca3-96e0-535ab096332b,ptinfj8crq4p,projects/cloud-map-reduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-11-25T00:48:57.511225514Z,plot-data,cloud-map-reduce,us-central1,cloud_function,DEBUG,"Function execution took 1696 ms, finished with status code: 200",2020-11-25T00:48:54.584312658Z,projects/cloud-map-reduce/traces/b71c0f8f03bb4c3c32a4ad387c2004d3
000000-bf3d8b8a-c953-41d0-af76-c2367f19ca5a,ptinfj8crq4p,projects/cloud-map-reduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-11-25T00:48:57.511225514Z,plot-data,cloud-map-reduce,us-central1,cloud_function,,n 28,2020-11-25T00:48:52.903Z,projects/cloud-map-reduce/traces/b71c0f8f03bb4c3c32a4ad387c2004d3
000000-87dd0a68-f394-457d-8dd7-3b66d9523580,ptinfj8crq4p,projects/cloud-map-reduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-11-25T00:48:57.511225514Z,plot-data,cloud-map-reduce,us-central1,cloud_function,DEBUG,Function execution started,2020-11-25T00:48:52.888582855Z,projects/cloud-map-reduce/traces/b71c0f8f03bb4c3c32a4ad387c2004d3
000000-f193ce65-ace1-4fb8-b4de-2a2657046d06,ptinvcjkylve,projects/cloud-map-reduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-11-25T00:48:57.511225514Z,plot-data,cloud-map-reduce,us-central1,cloud_function,DEBUG,"Function execution took 1886 ms, finished with status code: 200",2020-11-25T00:48:48.970791166Z,projects/cloud-map-reduce/traces/989ca448d7d57afefb6da3b6405e6305
000000-fa7bee24-56c6-4263-bf65-038abcce8c40,ptinvcjkylve,projects/cloud-map-reduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-11-25T00:48:57.511225514Z,plot-data,cloud-map-reduce,us-central1,cloud_function,,n 39,2020-11-25T00:48:47.104Z,projects/cloud-map-reduce/traces/989ca448d7d57afefb6da3b6405e6305
000000-62b7ff49-0d1c-471e-8deb-15e67f9add64,ptinvcjkylve,projects/cloud-map-reduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-11-25T00:48:57.511225514Z,plot-data,cloud-map-reduce,us-central1,cloud_function,DEBUG,Function execution started,2020-11-25T00:48:47.085225627Z,projects/cloud-map-reduce/traces/989ca448d7d57afefb6da3b6405e6305
000000-f4ebe8c3-e6c1-4574-87d1-73f0997bba10,ptinhb7px5nv,projects/cloud-map-reduce/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2020-11-25T00:47:41.844548028Z,plot-data,cloud-map-reduce,us-central1,cloud_function,DEBUG,"Function execution took 1834 ms, finished with status code: 200",2020-11-25T00:47:33.444609964Z,projects/cloud-map-reduce/traces/3b2b7fca9115d75215a162bbc9f3e548
